bin,predicted,observed,n
0,0.0001802330963563784,0.0002753051298522529,10897
1,0.0003232512096792544,0.0003671071953010279,10896
2,0.00046802897069340586,0.0008259153895567588,10897
3,0.0006436579014796874,0.0003671071953010279,10896
4,0.0008777371881421548,0.0007341470129393411,10897
5,0.0012240250664994814,0.0009177679882525697,10896
6,0.001797505773476683,0.0014684287812041115,10896
7,0.0028411900310093235,0.0024777461686702764,10897
8,0.005292133542469476,0.004497063142437592,10896
9,0.03308866452272456,0.02872350188125172,10897
