bin,predicted,observed,n
0,3.530631163241819e-05,0.0002753051298522529,10897
1,7.43984454626121e-05,0.0003671071953010279,10896
2,0.0001200335973073424,0.0008259153895567588,10897
3,0.00018133658126722642,0.0003671071953010279,10896
4,0.0002710577700102481,0.0007341470129393411,10897
5,0.0004172789387603334,0.0009177679882525697,10896
6,0.0006871677387951437,0.0014684287812041115,10896
7,0.001246209328227934,0.0024777461686702764,10897
8,0.0028072644833631107,0.004497063142437592,10896
9,0.03571691471879734,0.02872350188125172,10897
