asset_id,action,cost,crew_type,zone_id,avoided
DFR-01350,vegetation_clear,2800,vegetation,7,1149.8786419362154
DFR-01423,vegetation_clear,2800,vegetation,5,3381.8283414182415
DFR-01435,vegetation_clear,2800,vegetation,5,783.1048777801211
DFR-01440,vegetation_clear,2800,vegetation,0,767.9799208872864
DFR-01495,vegetation_clear,2800,vegetation,7,882.9734517994355
DFR-01514,vegetation_clear,2800,vegetation,5,724.7618310769064
DFR-01528,vegetation_clear,2800,vegetation,7,757.1302651613587
DFR-01561,vegetation_clear,2800,vegetation,7,1357.0335087514134
DFR-01605,vegetation_clear,2800,vegetation,7,588.361667813342
DFR-01629,vegetation_clear,2800,vegetation,0,989.8586904915096
DFR-01636,vegetation_clear,2800,vegetation,7,1028.7320586129397
DFR-01640,vegetation_clear,2800,vegetation,7,2256.0197266281484
DFR-01727,vegetation_clear,2800,vegetation,7,561.5776075114806
DFR-01761,vegetation_clear,2800,vegetation,0,577.7793886605315
DFR-01766,vegetation_clear,2800,vegetation,0,1125.922904694005
DFR-01773,vegetation_clear,2800,vegetation,7,1518.992673527313
DFR-01811,vegetation_clear,2800,vegetation,7,1601.8387044593583
DFR-01816,vegetation_clear,2800,vegetation,7,607.083279297129
DFR-01889,vegetation_clear,2800,vegetation,7,1033.4989577247088
DFR-01906,vegetation_clear,2800,vegetation,0,1049.7952563746305
DFR-01924,vegetation_clear,2800,vegetation,7,948.2918811854636
DFR-01991,vegetation_clear,2800,vegetation,7,929.405101019029
DSS-00064,inspect_repair,4200,line,7,5302.911804113281
DSS-00080,inspect_repair,4200,line,4,11415.801740762323
DSS-00114,inspect_repair,4200,line,7,11342.478869554161
DSS-00168,inspect_repair,4200,line,7,46500.91473892
DSS-00273,inspect_repair,4200,line,7,6443.258546353572
DSS-00291,inspect_repair,4200,line,3,5944.045647303048
DSS-00310,inspect_repair,4200,line,7,6448.171006946249
DSS-00357,inspect_repair,4200,line,4,19028.10647165207
DSS-00367,inspect_repair,4200,line,0,3904.016643518824
DSS-00380,inspect_repair,4200,line,7,9026.19059483067
INT-03487,inspect_repair_water,3600,water,8,47920.658142911234
INT-03494,inspect_repair_water,3600,water,7,8098.506111635488
PMP-02271,inspect_repair_water,3600,water,4,3282.504588405111
PMP-02273,inspect_repair_water,3600,water,7,4721.842494738275
PMP-02283,inspect_repair_water,3600,water,0,5287.4465717821295
PMP-02289,inspect_repair_water,3600,water,4,11072.96558597787
PMP-02290,inspect_repair_water,3600,water,0,2977.9079389848193
PMP-02331,inspect_repair_water,3600,water,5,3710.800054136512
PMP-02346,inspect_repair_water,3600,water,0,10324.045196538738
PMP-02411,inspect_repair_water,3600,water,7,20526.25673934603
PMP-02455,inspect_repair_water,3600,water,7,12725.677987904886
PMP-02465,inspect_repair_water,3600,water,7,22425.721421189228
PMP-02479,inspect_repair_water,3600,water,4,16041.803838490541
PMP-02504,inspect_repair_water,3600,water,5,3704.7246374979186
TSS-00002,inspect_repair,4200,line,5,4955.187415845824
TSS-00005,inspect_repair,4200,line,3,20599.334190384132
TSS-00008,inspect_repair,4200,line,0,7069.809595280816
TSS-00030,inspect_repair,4200,line,11,49841.00665785121
TSS-00032,inspect_repair,4200,line,7,10891.542762098621
WTP-02217,inspect_repair_water,3600,water,0,8901.262164406638
WTP-02219,inspect_repair_water,3600,water,0,95537.02137946483
WTP-02221,inspect_repair_water,3600,water,11,8217.698378959778
WTP-02222,inspect_repair_water,3600,water,3,4514.765223581181
