asset_id,alerted,first_alert,min_z,final_efficiency_ratio,data_quality,windows_degraded_or_suspect
PMP-02231,False,,-3.5,1.0247,ok,0
PMP-02233,False,,-2.671,1.0309,ok,0
PMP-02235,True,2026-05-19 06:00:00,-32.214,0.6772,stuck_sensor,71
PMP-02236,False,,-2.59,0.9778,ok,0
PMP-02241,True,2026-05-10 06:00:00,-33.439,0.6361,ok,0
PMP-02243,True,2026-07-13 06:00:00,-5.086,0.6789,ok,0
PMP-02258,True,2026-06-19 18:00:00,-29.381,0.6618,ok,0
PMP-02261,False,,-2.922,0.998,ok,0
PMP-02265,False,,-5.575,0.9341,ok,0
PMP-02273,False,,-3.128,1.102,ok,0
PMP-02274,False,,-2.321,0.9865,ok,0
PMP-02275,False,,-3.149,0.9688,stuck_sensor,71
PMP-02276,True,2026-06-03 00:00:00,-18.485,0.6635,ok,0
PMP-02282,False,,-2.008,1.0095,ok,0
PMP-02291,True,2026-06-06 00:00:00,-29.613,0.6265,ok,0
PMP-02292,True,2026-05-06 18:00:00,-29.596,0.6878,ok,0
PMP-02293,True,2026-05-07 18:00:00,-34.365,0.6903,ok,0
PMP-02299,False,,-3.164,1.0006,ok,0
PMP-02310,False,,-5.844,0.934,ok,0
PMP-02315,False,,-3.085,1.0266,ok,0
PMP-02328,True,2026-06-01 12:00:00,-30.264,0.6793,ok,0
PMP-02333,True,2026-06-16 18:00:00,-36.168,0.6747,ok,0
PMP-02335,True,2026-05-04 12:00:00,-28.703,0.6598,stuck_sensor,71
PMP-02336,False,,-3.153,1.0414,ok,0
PMP-02342,False,,-6.941,0.9244,ok,0
PMP-02344,False,,-2.721,1.0132,ok,0
PMP-02353,False,,-2.786,0.9971,ok,0
PMP-02355,False,,-2.58,1.0415,ok,0
PMP-02357,False,,-3.519,0.9564,ok,0
PMP-02361,False,,-2.876,1.0322,ok,0
PMP-02364,False,,-2.653,0.9998,ok,0
PMP-02368,True,2026-06-21 18:00:00,-30.524,0.6185,ok,0
PMP-02370,True,2026-06-20 18:00:00,-27.468,0.682,ok,0
PMP-02375,True,2026-05-21 06:00:00,-27.743,0.7038,ok,0
PMP-02384,False,,-6.619,0.9287,ok,0
PMP-02388,False,,-3.403,1.0594,ok,0
PMP-02397,False,,-2.946,0.9743,ok,0
PMP-02398,False,,-2.83,0.9922,sparse,1
PMP-02403,False,,-3.95,1.0263,ok,0
PMP-02404,False,,-3.719,0.9495,stuck_sensor,71
PMP-02406,False,,-3.872,1.0631,ok,0
PMP-02411,False,,-2.487,1.085,ok,0
PMP-02412,True,2026-05-31 18:00:00,-31.672,0.6468,ok,0
PMP-02414,False,,-2.711,1.0747,ok,0
PMP-02421,True,2026-05-25 18:00:00,-27.986,0.6751,ok,0
PMP-02424,False,,-2.924,1.0702,ok,0
PMP-02427,True,2026-06-12 18:00:00,-27.771,0.6753,ok,0
PMP-02432,True,2026-05-18 18:00:00,-29.652,0.6591,ok,0
PMP-02434,True,2026-06-26 06:00:00,-30.057,0.6397,ok,0
PMP-02445,False,,-3.527,0.9804,ok,0
PMP-02447,True,2026-06-05 00:00:00,-31.09,0.636,ok,0
PMP-02450,False,,-2.013,0.9878,ok,0
PMP-02459,False,,-2.933,1.063,ok,0
PMP-02469,False,,-3.682,1.002,ok,0
PMP-02470,False,,-2.696,0.9895,ok,0
PMP-02475,False,,-2.431,1.0633,ok,0
PMP-02479,False,,-3.77,0.9513,ok,0
PMP-02484,True,2026-06-01 12:00:00,-26.129,0.6336,ok,0
PMP-02492,False,,-2.998,1.0096,ok,0
PMP-02493,False,,-2.925,1.0129,ok,0
PMP-02495,False,,-2.582,0.9735,ok,0
PMP-02500,True,2026-05-09 12:00:00,-34.956,0.6244,ok,0
PMP-02504,True,2026-06-18 18:00:00,-30.171,0.6356,stuck_sensor,71
PMP-02511,False,,-3.484,0.9768,ok,0
PMP-02515,False,,-3.219,1.0622,ok,0
PMP-02525,True,2026-06-19 12:00:00,-32.368,0.6456,ok,0
