asset_class,lat,lon,lat_end,lon_end,length_km,install_year,design_life_years,material,_material_fragility,condition_score,criticality_tier,elevation_m,dist_to_coast_km,vegetation_density,drainage_quality,drought_susceptibility,_soil_corrosivity_true,_customer_density,zone_id,asset_id,network,site_elevation_m,flood_defence_m,has_backup_generation,backup_runtime_hours,diameter_mm,rating_mva,summer_load_factor,pump_rated_kw,last_inspected_year,customers_served,population_served_water,critical_facilities
transmission_substation,30.0906603763895,-85.9948504102646,30.0906603763895,-85.9948504102646,0.0,1996,60,standard,1.0,52.9,1,3.65,15.51,0.229,0.64,0.249,0.035,0.1126,9,TSS-00001,electric,1.78,0.0,False,0,,233.1,0.304,,2022,0.0,0.0,0
transmission_substation,32.53915951712139,-81.68013747322735,32.53915951712139,-81.68013747322735,0.0,1947,60,standard,1.0,17.8,2,67.31,275.55,0.525,0.608,1.0,0.706,0.7112,5,TSS-00002,electric,5.4,0.54,False,0,,437.8,0.59,,2025,0.0,0.0,0
transmission_substation,30.127659255540188,-81.87676079828118,30.127659255540188,-81.87676079828118,0.0,2017,60,standard,1.0,95.8,3,0.3,11.99,0.119,0.759,0.211,0.359,0.1126,8,TSS-00003,electric,0.21,0.0,False,0,,441.6,0.896,,2022,0.0,0.0,0
transmission_substation,30.575919439488754,-83.84933485808938,30.575919439488754,-83.84933485808938,0.0,1977,60,standard,1.0,65.7,2,15.1,64.59,0.356,0.734,0.484,0.617,0.1229,7,TSS-00004,electric,0.77,0.0,False,0,,135.8,0.509,,2026,0.0,0.0,0
transmission_substation,32.237595768670715,-81.67439067267291,32.237595768670715,-81.67439067267291,0.0,1968,60,standard,1.0,27.7,3,51.52,241.96,0.425,0.401,0.918,0.805,0.9239,3,TSS-00005,electric,2.68,0.0,False,0,,315.4,0.799,,2022,0.0,0.0,0
transmission_substation,30.165911033603436,-81.676377372162,30.165911033603436,-81.676377372162,0.0,1954,60,standard,1.0,29.7,3,3.68,12.05,0.195,0.859,0.287,0.288,0.1126,8,TSS-00006,electric,0.73,0.0,False,0,,464.3,0.448,,2025,0.0,0.0,0
transmission_substation,32.06191991169321,-84.34543188402944,32.06191991169321,-84.34543188402944,0.0,1988,60,standard,1.0,80.9,3,63.53,222.28,0.853,0.444,0.909,0.449,0.2994,4,TSS-00007,electric,0.82,0.0,False,0,,336.4,0.738,,2025,0.0,0.0,0
transmission_substation,31.296055982624473,-85.41477191793471,31.296055982624473,-85.41477191793471,0.0,1979,60,standard,1.0,50.8,3,33.12,138.43,0.467,0.564,0.541,0.404,0.4913,0,TSS-00008,electric,2.52,0.0,False,0,,193.0,0.876,,2022,0.0,0.0,0
transmission_substation,32.4683050369545,-81.70432282393736,32.4683050369545,-81.70432282393736,0.0,2000,60,standard,1.0,70.3,3,63.98,268.2,0.413,0.295,0.959,0.682,1.0,5,TSS-00009,electric,4.68,0.0,False,0,,425.5,0.625,,2023,0.0,0.0,0
transmission_substation,30.319690507651465,-82.93323567688276,30.319690507651465,-82.93323567688276,0.0,2002,60,standard,1.0,70.4,3,9.05,45.8,0.239,0.888,0.372,0.604,0.1126,10,TSS-00010,electric,1.45,2.2,False,0,,518.0,0.704,,2025,0.0,0.0,0
transmission_substation,31.793685905446516,-82.99286962249901,31.793685905446516,-82.99286962249901,0.0,1998,60,standard,1.0,90.1,3,52.96,209.31,0.89,0.692,0.784,0.852,0.1126,1,TSS-00011,electric,2.7,0.0,False,0,,239.0,0.684,,2021,0.0,0.0,0
transmission_substation,31.831816971745695,-81.55469657536455,31.831816971745695,-81.55469657536455,0.0,1986,60,standard,1.0,68.9,3,38.5,194.45,0.828,0.696,0.698,0.703,0.1156,3,TSS-00012,electric,1.3,0.0,False,0,,225.9,0.948,,2026,0.0,0.0,0
transmission_substation,30.036336018513037,-83.91660856045888,30.036336018513037,-83.91660856045888,0.0,1997,60,standard,1.0,81.0,3,4.3,3.62,0.158,0.747,0.183,0.453,0.1126,11,TSS-00013,electric,1.1,0.0,False,0,,273.7,0.545,,2024,0.0,0.0,0
transmission_substation,30.2132297608503,-81.83168615868782,30.2132297608503,-81.83168615868782,0.0,1974,60,standard,1.0,50.5,3,1.68,20.55,0.309,0.7,0.318,0.301,0.1126,8,TSS-00014,electric,0.56,1.5,False,0,,173.7,0.647,,2020,0.0,0.0,0
transmission_substation,30.109858348540676,-85.17716809370656,30.109858348540676,-85.17716809370656,0.0,1995,60,standard,1.0,61.8,3,0.39,3.96,0.171,0.721,0.171,0.078,0.1126,9,TSS-00015,electric,0.44,0.0,False,0,,287.1,0.708,,2022,0.0,0.0,0
transmission_substation,30.317970959385473,-83.39070136103575,30.317970959385473,-83.39070136103575,0.0,1962,60,standard,1.0,51.3,2,14.11,42.59,0.275,0.789,0.39,0.508,0.1126,11,TSS-00016,electric,0.63,1.21,False,0,,535.4,0.513,,2024,0.0,0.0,0
transmission_substation,30.595934557802014,-83.75300329599524,30.595934557802014,-83.75300329599524,0.0,1987,60,standard,1.0,47.4,3,14.65,68.35,0.428,0.901,0.338,0.439,0.1147,7,TSS-00017,electric,1.6,0.0,False,0,,290.2,0.679,,2023,0.0,0.0,0
transmission_substation,30.75097868754387,-81.5531846913931,30.75097868754387,-81.5531846913931,0.0,1967,60,standard,1.0,52.2,3,8.41,74.45,0.355,0.754,0.369,0.521,0.1126,8,TSS-00018,electric,0.86,0.0,False,0,,132.3,0.74,,2023,0.0,0.0,0
transmission_substation,31.37965462968629,-83.83661887332437,31.37965462968629,-83.83661887332437,0.0,1979,60,standard,1.0,53.7,2,38.65,154.01,0.774,0.633,0.591,0.571,0.1127,6,TSS-00019,electric,2.28,1.37,False,0,,453.8,0.25,,2024,0.0,0.0,0
transmission_substation,32.13980476994876,-84.05967310876254,32.13980476994876,-84.05967310876254,0.0,1977,60,standard,1.0,39.4,3,65.61,234.86,0.875,0.667,0.978,0.563,0.1196,4,TSS-00020,electric,0.91,0.0,False,0,,395.6,0.691,,2024,0.0,0.0,0
transmission_substation,32.4539512337237,-82.97957082185575,32.4539512337237,-82.97957082185575,0.0,1955,60,standard,1.0,30.1,3,76.96,282.63,0.854,0.74,1.0,0.989,0.1126,2,TSS-00021,electric,1.6,0.0,False,0,,145.4,0.627,,2023,0.0,0.0,0
transmission_substation,30.021358006213955,-82.2592743482091,30.021358006213955,-82.2592743482091,0.0,1981,60,standard,1.0,60.2,3,0.3,7.33,0.184,0.661,0.127,0.466,0.1126,8,TSS-00022,electric,1.61,1.14,False,0,,123.3,0.765,,2022,0.0,0.0,0
transmission_substation,30.6455763853116,-81.8609861574084,30.6455763853116,-81.8609861574084,0.0,1975,60,standard,1.0,63.2,1,6.36,69.15,0.456,0.617,0.313,0.409,0.1126,8,TSS-00023,electric,2.81,1.58,False,0,,294.9,0.751,,2023,0.0,0.0,0
transmission_substation,31.28130494376898,-84.92335502191186,31.28130494376898,-84.92335502191186,0.0,2003,60,standard,1.0,68.7,2,29.91,132.58,0.484,0.515,0.557,0.405,0.1595,0,TSS-00024,electric,1.49,0.0,False,0,,362.7,0.916,,2022,0.0,0.0,0
transmission_substation,31.032626460906155,-84.05110812051964,31.032626460906155,-84.05110812051964,0.0,2004,60,standard,1.0,73.7,3,32.03,112.09,0.465,0.455,0.497,0.511,0.3427,7,TSS-00025,electric,2.43,0.0,False,0,,494.9,0.834,,2023,0.0,0.0,0
