asset_id,downstream_assets,customers_affected,population_water_affected,critical_facilities_affected,cascade_population_water,cascade_delay_hours,consequence_score
TSS-00001,9,0.0,0.0,0,0.0,,0.0
TSS-00002,392,443272.0,1552807.0,70,0.0,,2695987.0
TSS-00003,3,0.0,0.0,0,0.0,,0.0
TSS-00004,41,13496.0,40011.0,3,0.0,,75251.0
TSS-00005,207,430363.0,776773.0,64,0.0,,1884680.5
TSS-00006,6,0.0,0.0,0,0.0,,0.0
TSS-00007,239,165755.0,440339.0,12,0.0,,860726.5
TSS-00008,531,167557.0,2115023.0,43,0.0,,2555415.5
TSS-00009,145,383327.0,826206.0,47,0.0,,1808023.5
TSS-00010,8,0.0,0.0,0,0.0,,0.0
TSS-00011,27,0.0,0.0,0,0.0,,0.0
TSS-00012,471,10057.0,3473397.0,63,0.0,,3530039.5
TSS-00013,15,0.0,0.0,0,0.0,,0.0
TSS-00014,6,0.0,0.0,0,0.0,,0.0
TSS-00015,5,0.0,0.0,0,0.0,,0.0
TSS-00016,16,0.0,0.0,0,0.0,,0.0
TSS-00017,23,1845.0,0.0,0,0.0,,4612.5
TSS-00018,3,0.0,0.0,0,0.0,,0.0
TSS-00019,34,933.0,0.0,0,0.0,,2332.5
TSS-00020,47,16628.0,23256.0,3,0.0,,66326.0
TSS-00021,24,999.0,15491.0,0,0.0,,17988.5
TSS-00022,14,0.0,0.0,0,0.0,,0.0
TSS-00023,7,0.0,0.0,0,0.0,,0.0
TSS-00024,67,48602.0,151787.0,8,0.0,,277292.0
TSS-00025,210,267468.0,908204.0,40,0.0,,1596874.0
TSS-00026,146,91008.0,297769.0,12,0.0,,531289.0
TSS-00027,9,0.0,0.0,0,0.0,,0.0
TSS-00028,103,84022.0,86228.0,10,0.0,,301283.0
TSS-00029,7,0.0,0.0,0,0.0,,0.0
TSS-00030,222,4384.0,1435988.0,25,0.0,,1459448.0
TSS-00031,24,0.0,0.0,0,0.0,,0.0
TSS-00032,325,560131.0,1026297.0,64,0.0,,2458624.5
TSS-00033,12,0.0,0.0,0,0.0,,0.0
TSS-00034,23,0.0,0.0,0,0.0,,0.0
TSS-00035,54,17952.0,60155.0,3,0.0,,106535.0
TSS-00036,5,0.0,0.0,0,0.0,,0.0
TSS-00037,8,0.0,0.0,0,0.0,,0.0
TSS-00038,8,0.0,0.0,0,0.0,,0.0
TSS-00039,1,0.0,0.0,0,0.0,,0.0
TSS-00040,36,0.0,0.0,0,0.0,,0.0
TSS-00041,18,0.0,0.0,0,0.0,,0.0
TSS-00042,95,3848.0,320195.0,4,0.0,,331815.0
TSS-00043,286,264280.0,826776.0,32,0.0,,1503476.0
TSS-00044,113,21733.0,310390.0,7,0.0,,368222.5
TSS-00045,45,21848.0,99795.0,4,0.0,,156415.0
TSS-00046,54,33082.0,40468.0,6,0.0,,126173.0
TSS-00047,8,0.0,0.0,0,0.0,,0.0
TSS-00048,98,43807.0,120135.0,5,0.0,,232152.5
TSS-00049,29,0.0,0.0,0,0.0,,0.0
TSS-00050,18,0.0,0.0,0,0.0,,0.0
TSS-00051,5,0.0,0.0,0,0.0,,0.0
TSS-00052,21,0.0,0.0,0,0.0,,0.0
TSS-00053,11,0.0,0.0,0,0.0,,0.0
TSS-00054,16,0.0,0.0,0,0.0,,0.0
TSS-00055,66,88908.0,97852.0,6,0.0,,323122.0
TSS-00056,17,0.0,0.0,0,0.0,,0.0
TSS-00057,25,14687.0,18511.0,2,0.0,,56228.5
TSS-00058,10,0.0,0.0,0,0.0,,0.0
TSS-00059,7,0.0,0.0,0,0.0,,0.0
TSS-00060,5,0.0,0.0,0,0.0,,0.0
DSS-00061,3,5276.0,0.0,0,0.0,,13190.0
DSS-00062,3,0.0,14410.0,0,14410.0,0.0,28820.0
DSS-00063,2,2048.0,0.0,0,0.0,,5120.0
DSS-00064,8,0.0,103810.0,0,67319.6,4.0,171129.6
DSS-00065,18,4111.0,80056.0,5,62685.4,2.6666666666666665,155518.9
DSS-00066,5,13749.0,0.0,1,0.0,,34872.5
DSS-00067,2,2744.0,0.0,1,0.0,,7360.0
