asset_id,timestamp,scenario_id,failure_type,work_order_type,raised_at,cost_usd,work_order_id,material_as_recorded,timestamp_quality
DSS-00349,2023-08-03 00:00:00,,,routine,2023-08-03 00:00:00,1499.04,WO-0000001,standard,as_occurred
TNK-02640,2023-08-03 00:00:00,,,routine,2023-08-03 00:00:00,200.42,WO-0000002,standard,as_occurred
DSS-00245,2023-08-03 00:00:00,,,inspection,2023-08-06 00:00:00,330.68,WO-0000003,standard,reported_late
TNK-02572,2023-08-03 00:00:00,,,inspection,2023-08-03 00:00:00,4372.34,WO-0000004,standard,as_occurred
TLS-00749,2023-08-03 00:00:00,,,routine,2023-08-03 00:00:00,781.56,WO-0000005,steel_lattice,as_occurred
WMN-02744,2023-08-04 00:00:00,,,inspection,2023-08-04 00:00:00,1111.84,WO-0000006,Poly Vinyl Chloride,as_occurred
TNK-02661,2023-08-04 00:00:00,,,vegetation,2023-08-04 00:00:00,443.67,WO-0000007,standard,as_occurred
TLS-01263,2023-08-04 00:00:00,,,inspection,2023-08-04 00:00:00,651.16,WO-0000008,steel_monopole,as_occurred
TLS-01243,2023-08-04 00:00:00,,,routine,2023-08-04 00:00:00,1364.22,WO-0000009,steel_lattice,as_occurred
PMP-02503,2023-08-04 00:00:00,,,inspection,2023-08-04 00:00:00,608.98,WO-0000010,standard,as_occurred
RCL-02157,2023-08-05 00:00:00,,,routine,2023-08-05 00:00:00,485.47,WO-0000011,standard,as_occurred
TLS-00892,2023-08-05 00:00:00,,,routine,2023-08-05 00:00:00,574.87,WO-0000012,steel_lattice,as_occurred
RCL-02156,2023-08-05 00:00:00,,,routine,2023-08-05 00:00:00,1857.0,WO-0000013,standard,as_occurred
DSS-00291,2023-08-05 00:00:00,,,routine,2023-08-05 00:00:00,2736.24,WO-0000014,standard,as_occurred
TLS-01221,2023-08-06 00:00:00,,,inspection,2023-08-06 00:00:00,1264.66,WO-0000015,steel_monopole,as_occurred
TLS-00657,2023-08-06 00:00:00,,,routine,2023-08-06 00:00:00,569.18,WO-0000016,steel_lattice,as_occurred
DFR-01365,2023-08-06 00:00:00,,,inspection,2023-08-06 00:00:00,614.99,WO-0000017,wood_pole,as_occurred
WMN-02817,2023-08-06 00:00:00,,,vegetation,2023-08-06 00:00:00,1066.96,WO-0000018,ductile_iron,as_occurred
LEGACY-062579,2023-08-07 00:00:00,,,routine,2023-08-07 00:00:00,1039.2,WO-0000019,,as_occurred
WMN-02939,2023-08-07 00:00:00,,,routine,2023-08-07 00:00:00,1096.24,WO-0000020,ductile_iron,as_occurred
DSS-00162,2023-08-07 00:00:00,,,routine,2023-08-07 00:00:00,1787.05,WO-0000021,standard,as_occurred
TLS-00450,2023-08-07 00:00:00,,,inspection,2023-08-07 00:00:00,1604.44,WO-0000022,steel_lattice,as_occurred
WMN-02820,2023-08-07 00:00:00,,,inspection,2023-08-07 00:00:00,660.44,WO-0000023,ductile_iron,as_occurred
WMN-03215,2023-08-07 00:00:00,,,routine,2023-08-10 00:00:00,631.73,WO-0000024,pvc,reported_late
WMN-02740,2023-08-08 00:00:00,,,inspection,2023-08-08 00:00:00,352.68,WO-0000025,pvc,as_occurred
WMN-03464,2023-08-08 00:00:00,,,routine,2023-08-08 00:00:00,543.39,WO-0000026,cast_iron,as_occurred
DFR-01805,2023-08-08 00:00:00,,,routine,2023-08-11 00:00:00,610.09,WO-0000027,wood_pole,reported_late
TLS-00467,2023-08-08 00:00:00,,,inspection,2023-08-08 00:00:00,415.92,WO-0000028,steel_lattice,as_occurred
WMN-03105,2023-08-09 00:00:00,,,routine,2023-08-09 00:00:00,561.74,WO-0000029,cast_iron,as_occurred
DFR-01439,2023-08-09 00:00:00,,,inspection,2023-08-09 00:00:00,1000.31,WO-0000030,wood_pole,as_occurred
WMN-02854,2023-08-09 00:00:00,,,routine,2023-08-09 00:00:00,1084.76,WO-0000031,cast_iron,as_occurred
WMN-03386,2023-08-09 00:00:00,,,inspection,2023-08-09 00:00:00,1745.64,WO-0000032,ductile_iron,as_occurred
TLS-00453,2023-08-09 00:00:00,,,routine,2023-08-09 00:00:00,784.8,WO-0000033,steel_lattice,as_occurred
PMP-02407,2023-08-10 00:00:00,,,routine,2023-08-10 00:00:00,726.34,WO-0000034,standard,as_occurred
WMN-03367,2023-08-10 00:00:00,,,inspection,2023-08-13 00:00:00,943.77,WO-0000035,ductile_iron,reported_late
DFR-01791,2023-08-10 00:00:00,,,routine,2023-08-10 00:00:00,705.89,WO-0000036,composite_pole,as_occurred
WMN-03346,2023-08-10 00:00:00,,,routine,2023-08-10 00:00:00,785.76,WO-0000037,ductile_iron,as_occurred
TLS-00689,2023-08-10 00:00:00,,,inspection,2023-08-10 00:00:00,590.4,WO-0000038,steel_lattice,as_occurred
WMN-03255,2023-08-11 00:00:00,,,routine,2023-08-11 00:00:00,282.42,WO-0000039,pvc,as_occurred
DSS-00110,2023-08-11 00:00:00,,,inspection,2023-08-11 00:00:00,1906.75,WO-0000040,standard,as_occurred
WMN-02886,2023-08-11 00:00:00,,,inspection,2023-08-11 00:00:00,2526.7,WO-0000041,ductile_iron,as_occurred
WMN-03010,2023-08-12 00:00:00,,,routine,2023-08-12 00:00:00,121.22,WO-0000042,Cast Iron,as_occurred
RCL-02032,2023-08-12 00:00:00,,,inspection,2023-08-12 00:00:00,770.65,WO-0000043,standard,as_occurred
TLS-01252,2023-08-13 00:00:00,,,inspection,2023-08-13 00:00:00,369.03,WO-0000044,steel_lattice,as_occurred
PMP-02329,2023-08-13 00:00:00,,,routine,2023-08-13 00:00:00,601.22,WO-0000045,standard,as_occurred
WMN-02840,2023-08-13 00:00:00,,,inspection,2023-08-13 00:00:00,786.64,WO-0000046,cast_iron,as_occurred
DFR-01371,2023-08-13 00:00:00,,,inspection,2023-08-13 00:00:00,734.02,WO-0000047,underground,as_occurred
WMN-03331,2023-08-14 00:00:00,,,inspection,2023-08-14 00:00:00,352.32,WO-0000048,ductile_iron,as_occurred
WTP-02217,2023-08-14 00:00:00,,,routine,2023-08-14 00:00:00,2518.82,WO-0000049,standard,as_occurred
TLS-01211,2023-08-14 00:00:00,,,routine,2023-08-14 00:00:00,1536.62,WO-0000050,steel_monopole,as_occurred
DFR-01621,2023-08-14 00:00:00,,,routine,2023-08-14 00:00:00,1220.87,WO-0000051,wood_pole,as_occurred
DFR-01924,2023-08-14 00:00:00,,,routine,2023-08-14 00:00:00,1405.72,WO-0000052,wood_pole,as_occurred
WMN-03293,2023-08-14 00:00:00,,,inspection,2023-08-14 00:00:00,1244.24,WO-0000053,Poly Vinyl Chloride,as_occurred
WMN-03348,2023-08-14 00:00:00,,,vegetation,2023-08-14 00:00:00,1269.62,WO-0000054,ductile_iron,as_occurred
WMN-03065,2023-08-14 00:00:00,,,routine,2023-08-14 00:00:00,833.03,WO-0000055,ductile_iron,as_occurred
WMN-03258,2023-08-14 00:00:00,,,inspection,2023-08-14 00:00:00,509.21,WO-0000056,cast_iron,as_occurred
TLS-00702,2023-08-14 00:00:00,,,routine,2023-08-14 00:00:00,1436.92,WO-0000057,steel_monopole,as_occurred
