crew_type,home_depot,cost_per_shift_usd,shift_hours,productivity,can_work,crew_id,lead_time_hours
line,DEP-012,4200,12,0.848,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0001,0
line,DEP-003,4200,12,1.017,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0002,0
line,DEP-001,4200,12,1.307,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0003,0
line,DEP-015,4200,12,1.019,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0004,0
line,DEP-011,4200,12,0.949,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0005,0
line,DEP-006,4200,12,1.04,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0006,0
line,DEP-014,4200,12,1.036,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0007,0
line,DEP-015,4200,12,1.214,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0008,0
line,DEP-005,4200,12,1.204,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0009,0
line,DEP-013,4200,12,1.112,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0010,0
line,DEP-008,4200,12,0.792,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0011,0
line,DEP-005,4200,12,0.992,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0012,0
line,DEP-012,4200,12,1.212,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0013,0
line,DEP-001,4200,12,0.909,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0014,0
line,DEP-011,4200,12,0.882,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0015,0
line,DEP-004,4200,12,1.056,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0016,0
line,DEP-010,4200,12,0.93,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0017,0
line,DEP-013,4200,12,1.038,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0018,0
line,DEP-014,4200,12,1.033,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0019,0
line,DEP-010,4200,12,0.865,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0020,0
line,DEP-002,4200,12,0.921,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0021,0
line,DEP-013,4200,12,0.819,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0022,0
line,DEP-004,4200,12,1.011,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0023,0
