scenario_id,hazard,asset_id,bucket,timestamp,failure_type,restore_hours,is_functional
HURR-20240531-001,hurricane,WMN-02685,1,2024-05-31 06:00:00,physical,30.7,False
HURR-20240531-001,hurricane,WMN-03390,1,2024-05-31 06:00:00,physical,16.8,False
HURR-20240531-001,hurricane,DFR-01514,2,2024-05-31 12:00:00,physical,29.7,False
HURR-20240531-001,hurricane,PMP-02266,2,2024-05-31 12:00:00,physical,23.5,False
HURR-20240531-001,hurricane,WMN-02697,2,2024-05-31 12:00:00,physical,23.3,False
HURR-20240531-001,hurricane,WMN-03441,2,2024-05-31 12:00:00,physical,57.7,False
HURR-20240531-001,hurricane,DFR-01777,4,2024-06-01 00:00:00,physical,7.9,False
HURR-20240531-001,hurricane,PMP-02313,4,2024-06-01 00:00:00,physical,36.5,False
HURR-20240531-001,hurricane,PMP-02322,4,2024-06-01 00:00:00,physical,30.7,False
HURR-20240531-001,hurricane,WMN-02712,4,2024-06-01 00:00:00,physical,34.2,False
HURR-20240531-001,hurricane,WMN-02852,5,2024-06-01 06:00:00,physical,21.0,False
HURR-20240531-001,hurricane,WMN-02786,5,2024-06-01 06:00:00,physical,40.3,False
HURR-20240531-001,hurricane,PMP-02479,5,2024-06-01 06:00:00,physical,35.9,False
HURR-20240531-001,hurricane,PMP-02465,5,2024-06-01 06:00:00,physical,39.7,False
HURR-20240531-001,hurricane,WMN-02812,5,2024-06-01 06:00:00,physical,34.5,False
HURR-20240531-001,hurricane,DSS-00145,5,2024-06-01 06:00:00,physical,62.7,False
HURR-20240531-001,hurricane,TSS-00058,5,2024-06-01 06:00:00,physical,87.2,False
HURR-20240531-001,hurricane,TSS-00015,5,2024-06-01 06:00:00,physical,65.8,False
HURR-20240531-001,hurricane,PMP-02268,5,2024-06-01 06:00:00,physical,28.9,False
HURR-20240531-001,hurricane,DFR-01766,6,2024-06-01 12:00:00,physical,9.6,False
HURR-20240531-001,hurricane,DFR-01779,6,2024-06-01 12:00:00,physical,18.6,False
HURR-20240531-001,hurricane,DFR-01780,6,2024-06-01 12:00:00,physical,30.3,False
HURR-20240531-001,hurricane,DFR-01783,6,2024-06-01 12:00:00,physical,22.5,False
HURR-20240531-001,hurricane,DFR-01800,6,2024-06-01 12:00:00,physical,20.7,False
HURR-20240531-001,hurricane,DFR-01833,6,2024-06-01 12:00:00,physical,15.4,False
HURR-20240531-001,hurricane,DFR-01841,6,2024-06-01 12:00:00,physical,15.4,False
HURR-20240531-001,hurricane,DFR-01906,6,2024-06-01 12:00:00,physical,8.1,False
HURR-20240531-001,hurricane,DFR-01921,6,2024-06-01 12:00:00,physical,5.4,False
HURR-20240531-001,hurricane,DFR-01922,6,2024-06-01 12:00:00,physical,5.5,False
HURR-20240531-001,hurricane,DFR-01935,6,2024-06-01 12:00:00,physical,14.4,False
HURR-20240531-001,hurricane,DFR-01938,6,2024-06-01 12:00:00,physical,20.8,False
HURR-20240531-001,hurricane,DFR-01946,6,2024-06-01 12:00:00,physical,17.1,False
HURR-20240531-001,hurricane,DFR-01761,6,2024-06-01 12:00:00,physical,6.5,False
HURR-20240531-001,hurricane,DFR-01854,6,2024-06-01 12:00:00,physical,12.7,False
HURR-20240531-001,hurricane,DFR-01754,6,2024-06-01 12:00:00,physical,10.8,False
HURR-20240531-001,hurricane,DFR-01655,6,2024-06-01 12:00:00,physical,26.4,False
HURR-20240531-001,hurricane,DFR-01738,6,2024-06-01 12:00:00,physical,6.6,False
HURR-20240531-001,hurricane,DFR-01596,6,2024-06-01 12:00:00,physical,18.0,False
HURR-20240531-001,hurricane,DFR-01608,6,2024-06-01 12:00:00,physical,24.1,False
HURR-20240531-001,hurricane,DFR-01617,6,2024-06-01 12:00:00,physical,34.0,False
HURR-20240531-001,hurricane,DFR-01622,6,2024-06-01 12:00:00,physical,19.0,False
HURR-20240531-001,hurricane,DFR-01623,6,2024-06-01 12:00:00,physical,19.3,False
HURR-20240531-001,hurricane,DFR-01629,6,2024-06-01 12:00:00,physical,9.1,False
HURR-20240531-001,hurricane,DFR-01753,6,2024-06-01 12:00:00,physical,7.0,False
HURR-20240531-001,hurricane,DFR-01646,6,2024-06-01 12:00:00,physical,8.1,False
HURR-20240531-001,hurricane,DFR-01661,6,2024-06-01 12:00:00,physical,13.0,False
HURR-20240531-001,hurricane,DFR-01668,6,2024-06-01 12:00:00,physical,20.5,False
HURR-20240531-001,hurricane,DFR-01685,6,2024-06-01 12:00:00,physical,11.9,False
HURR-20240531-001,hurricane,DFR-01719,6,2024-06-01 12:00:00,physical,10.1,False
HURR-20240531-001,hurricane,DFR-01721,6,2024-06-01 12:00:00,physical,7.1,False
HURR-20240531-001,hurricane,DFR-01729,6,2024-06-01 12:00:00,physical,12.0,False
HURR-20240531-001,hurricane,DFR-01966,6,2024-06-01 12:00:00,physical,14.2,False
HURR-20240531-001,hurricane,DFR-01970,6,2024-06-01 12:00:00,physical,7.4,False
HURR-20240531-001,hurricane,RCL-02057,6,2024-06-01 12:00:00,physical,14.3,False
