source,target,edge_type
TSS-00052,TLS-00411,transmission
TSS-00011,TLS-00412,transmission
TSS-00008,TLS-00413,transmission
TSS-00030,TLS-00414,transmission
TSS-00019,TLS-00415,transmission
TSS-00030,TLS-00416,transmission
TSS-00010,TLS-00417,transmission
TSS-00008,TLS-00418,transmission
TSS-00025,TLS-00419,transmission
TSS-00047,TLS-00420,transmission
TSS-00055,TLS-00421,transmission
TSS-00045,TLS-00422,transmission
TSS-00046,TLS-00423,transmission
TSS-00045,TLS-00424,transmission
TSS-00030,TLS-00425,transmission
TSS-00041,TLS-00426,transmission
TSS-00008,TLS-00427,transmission
TSS-00021,TLS-00428,transmission
TSS-00022,TLS-00429,transmission
TSS-00028,TLS-00430,transmission
TSS-00046,TLS-00431,transmission
TSS-00053,TLS-00432,transmission
TSS-00035,TLS-00433,transmission
TSS-00008,TLS-00434,transmission
TSS-00031,TLS-00435,transmission
TSS-00040,TLS-00436,transmission
TSS-00026,TLS-00437,transmission
TSS-00004,TLS-00438,transmission
TSS-00048,TLS-00439,transmission
TSS-00048,TLS-00440,transmission
TSS-00007,TLS-00441,transmission
TSS-00044,TLS-00442,transmission
TSS-00019,TLS-00443,transmission
TSS-00022,TLS-00444,transmission
TSS-00045,TLS-00445,transmission
TSS-00048,TLS-00446,transmission
TSS-00044,TLS-00447,transmission
TSS-00056,TLS-00448,transmission
TSS-00052,TLS-00449,transmission
TSS-00016,TLS-00450,transmission
TSS-00043,TLS-00451,transmission
TSS-00031,TLS-00452,transmission
TSS-00057,TLS-00453,transmission
TSS-00041,TLS-00454,transmission
TSS-00030,TLS-00455,transmission
TSS-00043,TLS-00456,transmission
TSS-00046,TLS-00457,transmission
TSS-00044,TLS-00458,transmission
TSS-00012,TLS-00459,transmission
TSS-00044,TLS-00460,transmission
TSS-00048,TLS-00461,transmission
TSS-00030,TLS-00462,transmission
TSS-00013,TLS-00463,transmission
TSS-00040,TLS-00464,transmission
TSS-00019,TLS-00465,transmission
TSS-00043,TLS-00466,transmission
TSS-00033,TLS-00467,transmission
TSS-00011,TLS-00468,transmission
TSS-00027,TLS-00469,transmission
TSS-00056,TLS-00470,transmission
TSS-00019,TLS-00471,transmission
TSS-00029,TLS-00472,transmission
TSS-00032,TLS-00473,transmission
TSS-00006,TLS-00474,transmission
TSS-00021,TLS-00475,transmission
TSS-00040,TLS-00476,transmission
TSS-00015,TLS-00477,transmission
TSS-00048,TLS-00478,transmission
TSS-00026,TLS-00479,transmission
TSS-00035,TLS-00480,transmission
TSS-00007,TLS-00481,transmission
TSS-00043,TLS-00482,transmission
TSS-00013,TLS-00483,transmission
TSS-00055,TLS-00484,transmission
TSS-00012,TLS-00485,transmission
TSS-00038,TLS-00486,transmission
TSS-00030,TLS-00487,transmission
TSS-00049,TLS-00488,transmission
TSS-00036,TLS-00489,transmission
TSS-00056,TLS-00490,transmission
TSS-00036,TLS-00491,transmission
TSS-00011,TLS-00492,transmission
TSS-00017,TLS-00493,transmission
TSS-00013,TLS-00494,transmission
TSS-00038,TLS-00495,transmission
TSS-00056,TLS-00496,transmission
TSS-00034,TLS-00497,transmission
TSS-00049,TLS-00498,transmission
TSS-00007,TLS-00499,transmission
TSS-00014,TLS-00500,transmission
TSS-00026,TLS-00501,transmission
TSS-00011,TLS-00502,transmission
TSS-00055,TLS-00503,transmission
TSS-00019,TLS-00504,transmission
TSS-00045,TLS-00505,transmission
TSS-00040,TLS-00506,transmission
TSS-00008,TLS-00507,transmission
TSS-00055,TLS-00508,transmission
TSS-00019,TLS-00509,transmission
TSS-00034,TLS-00510,transmission
TSS-00044,TLS-00511,transmission
TSS-00047,TLS-00512,transmission
TSS-00030,TLS-00513,transmission
TSS-00031,TLS-00514,transmission
TSS-00027,TLS-00515,transmission
TSS-00044,TLS-00516,transmission
TSS-00004,TLS-00517,transmission
TSS-00003,TLS-00518,transmission
TSS-00025,TLS-00519,transmission
TSS-00024,TLS-00520,transmission
TSS-00045,TLS-00521,transmission
TSS-00011,TLS-00522,transmission
TSS-00033,TLS-00523,transmission
TSS-00018,TLS-00524,transmission
TSS-00043,TLS-00525,transmission
TSS-00046,TLS-00526,transmission
TSS-00008,TLS-00527,transmission
TSS-00048,TLS-00528,transmission
TSS-00035,TLS-00529,transmission
TSS-00029,TLS-00530,transmission
TSS-00047,TLS-00531,transmission
TSS-00035,TLS-00532,transmission
TSS-00026,TLS-00533,transmission
TSS-00017,TLS-00534,transmission
TSS-00049,TLS-00535,transmission
TSS-00030,TLS-00536,transmission
TSS-00047,TLS-00537,transmission
TSS-00027,TLS-00538,transmission
TSS-00057,TLS-00539,transmission
TSS-00049,TLS-00540,transmission
TSS-00043,TLS-00541,transmission
TSS-00042,TLS-00542,transmission
TSS-00013,TLS-00543,transmission
TSS-00059,TLS-00544,transmission
TSS-00008,TLS-00545,transmission
TSS-00020,TLS-00546,transmission
TSS-00044,TLS-00547,transmission
TSS-00026,TLS-00548,transmission
TSS-00011,TLS-00549,transmission
TSS-00017,TLS-00550,transmission
TSS-00013,TLS-00551,transmission
TSS-00052,TLS-00552,transmission
TSS-00041,TLS-00553,transmission
TSS-00043,TLS-00554,transmission
TSS-00049,TLS-00555,transmission
TSS-00038,TLS-00556,transmission
TSS-00054,TLS-00557,transmission
TSS-00015,TLS-00558,transmission
TSS-00044,TLS-00559,transmission
TSS-00028,TLS-00560,transmission
TSS-00050,TLS-00561,transmission
TSS-00032,TLS-00562,transmission
TSS-00042,TLS-00563,transmission
TSS-00040,TLS-00564,transmission
TSS-00040,TLS-00565,transmission
TSS-00041,TLS-00566,transmission
TSS-00048,TLS-00567,transmission
TSS-00021,TLS-00568,transmission
TSS-00016,TLS-00569,transmission
TSS-00023,TLS-00570,transmission
TSS-00013,TLS-00571,transmission
TSS-00043,TLS-00572,transmission
TSS-00049,TLS-00573,transmission
TSS-00004,TLS-00574,transmission
TSS-00021,TLS-00575,transmission
TSS-00008,TLS-00576,transmission
TSS-00028,TLS-00577,transmission
TSS-00025,TLS-00578,transmission
TSS-00010,TLS-00579,transmission
TSS-00014,TLS-00580,transmission
TSS-00008,TLS-00581,transmission
TSS-00055,TLS-00582,transmission
TSS-00040,TLS-00583,transmission
TSS-00031,TLS-00584,transmission
TSS-00001,TLS-00585,transmission
TSS-00025,TLS-00586,transmission
TSS-00045,TLS-00587,transmission
TSS-00012,TLS-00588,transmission
TSS-00049,TLS-00589,transmission
TSS-00040,TLS-00590,transmission
TSS-00034,TLS-00591,transmission
TSS-00007,TLS-00592,transmission
TSS-00035,TLS-00593,transmission
TSS-00044,TLS-00594,transmission
TSS-00039,TLS-00595,transmission
TSS-00050,TLS-00596,transmission
TSS-00008,TLS-00597,transmission
TSS-00050,TLS-00598,transmission
TSS-00049,TLS-00599,transmission
TSS-00031,TLS-00600,transmission
TSS-00042,TLS-00601,transmission
TSS-00043,TLS-00602,transmission
TSS-00020,TLS-00603,transmission
TSS-00050,TLS-00604,transmission
TSS-00026,TLS-00605,transmission
TSS-00029,TLS-00606,transmission
TSS-00016,TLS-00607,transmission
TSS-00054,TLS-00608,transmission
TSS-00019,TLS-00609,transmission
TSS-00032,TLS-00610,transmission
TSS-00008,TLS-00611,transmission
TSS-00044,TLS-00612,transmission
TSS-00012,TLS-00613,transmission
TSS-00049,TLS-00614,transmission
TSS-00027,TLS-00615,transmission
TSS-00028,TLS-00616,transmission
TSS-00033,TLS-00617,transmission
TSS-00033,TLS-00618,transmission
TSS-00008,TLS-00619,transmission
TSS-00038,TLS-00620,transmission
TSS-00042,TLS-00621,transmission
TSS-00013,TLS-00622,transmission
TSS-00009,TLS-00623,transmission
TSS-00008,TLS-00624,transmission
TSS-00023,TLS-00625,transmission
TSS-00002,TLS-00626,transmission
TSS-00046,TLS-00627,transmission
TSS-00054,TLS-00628,transmission
TSS-00011,TLS-00629,transmission
TSS-00016,TLS-00630,transmission
TSS-00048,TLS-00631,transmission
TSS-00034,TLS-00632,transmission
TSS-00032,TLS-00633,transmission
TSS-00030,TLS-00634,transmission
TSS-00014,TLS-00635,transmission
TSS-00042,TLS-00636,transmission
TSS-00042,TLS-00637,transmission
TSS-00043,TLS-00638,transmission
TSS-00050,TLS-00639,transmission
TSS-00007,TLS-00640,transmission
TSS-00052,TLS-00641,transmission
