asset_id,is_degrading,degradation_onset
PMP-02357,False,
PMP-02364,False,
PMP-02404,False,
PMP-02276,True,2026-05-05 21:45:00
PMP-02470,False,
PMP-02310,False,
PMP-02403,False,
PMP-02275,False,
PMP-02243,True,2026-04-15 14:00:00
PMP-02412,True,2026-05-09 09:00:00
PMP-02235,True,2026-04-25 17:45:00
PMP-02274,False,
PMP-02434,True,2026-06-14 07:45:00
PMP-02293,True,2026-04-11 22:00:00
PMP-02328,True,2026-05-11 04:15:00
PMP-02342,False,
PMP-02492,False,
PMP-02368,True,2026-06-04 01:15:00
PMP-02469,False,
PMP-02414,False,
PMP-02315,False,
PMP-02233,False,
PMP-02336,False,
PMP-02479,False,
PMP-02231,False,
PMP-02370,True,2026-06-07 19:00:00
PMP-02355,False,
PMP-02273,False,
PMP-02424,False,
PMP-02291,True,2026-05-16 23:45:00
PMP-02500,True,2026-04-12 07:45:00
PMP-02292,True,2026-04-07 20:15:00
PMP-02411,False,
PMP-02384,False,
PMP-02484,True,2026-05-08 16:45:00
PMP-02261,False,
PMP-02525,True,2026-06-02 23:15:00
PMP-02511,False,
PMP-02398,False,
PMP-02335,True,2026-04-06 14:30:00
PMP-02493,False,
PMP-02475,False,
PMP-02299,False,
PMP-02333,True,2026-06-02 19:00:00
PMP-02459,False,
PMP-02406,False,
PMP-02236,False,
PMP-02361,False,
PMP-02388,False,
PMP-02421,True,2026-04-29 01:15:00
PMP-02515,False,
PMP-02241,True,2026-04-11 21:15:00
PMP-02265,False,
PMP-02445,False,
PMP-02344,False,
PMP-02447,True,2026-05-17 10:00:00
PMP-02427,True,2026-05-25 08:15:00
PMP-02504,True,2026-06-04 12:00:00
PMP-02353,False,
PMP-02432,True,2026-04-23 19:45:00
PMP-02495,False,
PMP-02258,True,2026-06-02 15:15:00
PMP-02375,True,2026-04-22 22:45:00
PMP-02450,False,
PMP-02282,False,
PMP-02397,False,
